Название пары,Дата сделки,Стратегия сделки,Цена сделки
LINKUSDT,2023-01-04 15:06:23,Close Short,2
ETHUSDT,2023-01-04 02:35:11,Close Long,0.01
LINKUSDT,2023-01-02 07:14:50,Close Long,6.8
DOGEUSDT,2022-12-31 14:28:48,Close Long,545
BNBUSDT,2022-12-31 13:24:39,Close Long,0.05
SHIB1000USDT,2022-12-30 21:10:09,Close Long,1400
SHIB1000USDT,2022-12-29 15:03:07,Close Long,2940
BNBUSDT,2022-12-28 00:05:05,Close Long,0.05
BNBUSDT,2022-12-27 20:12:10,Close Long,0.05
BNBUSDT,2022-12-27 15:22:52,Close Long,0.05
BNBUSDT,2022-12-27 00:01:19,Close Long,0.05
ETHUSDT,2022-12-26 23:54:57,Close Long,0.01
LINKUSDT,2022-12-23 03:11:10,Close Short,4
SHIB1000USDT,2022-12-22 20:26:46,Close Long,700
BNBUSDT,2022-12-22 20:26:43,Close Long,0.02
LINKUSDT,2022-12-22 20:22:16,Close Long,1
SHIB1000USDT,2022-12-22 20:22:16,Close Long,700
BNBUSDT,2022-12-22 20:21:38,Close Long,0.03
LINKUSDT,2022-12-22 19:53:25,Close Long,1
LINKUSDT,2022-12-22 17:59:09,Close Long,2
SHIB1000USDT,2022-12-20 16:19:34,Close Short,1400
DOGEUSDT,2022-12-20 16:09:23,Close Short,150
ETHUSDT,2022-12-20 16:05:34,Close Short,0.01
DOGEUSDT,2022-12-20 15:17:30,Close Short,150
DOGEUSDT,2022-12-20 14:56:33,Close Long,150
ETHUSDT,2022-12-20 14:56:32,Close Long,0.01
LINKUSDT,2022-12-20 13:10:22,Close Long,3
ICXUSDT,2022-12-20 12:59:28,Close Long,500
XRPUSDT,2022-12-20 12:59:27,Close Long,21
XRPUSDT,2022-12-20 12:59:27,Close Long,21
XRPUSDT,2022-12-20 12:59:27,Close Long,2
XRPUSDT,2022-12-20 12:59:27,Close Long,119
SHIB1000USDT,2022-12-20 12:59:24,Close Long,1000
SHIB1000USDT,2022-12-20 12:59:24,Close Long,400
SHIB1000USDT,2022-12-20 09:15:11,Close Long,1400
LINKUSDT,2022-12-20 08:52:49,Close Long,3
SHIB1000USDT,2022-12-20 08:03:59,Close Long,1400
